,longitude,latitude,avg_d_kbps,avg_u_kbps,avg_lat_ms,avg_lat_ms,devices
5394384,99.72564697265625,6.328947924689966,118084,49051,11,11,10
5394385,99.73114013671876,6.328947924689966,83999,80864,13,13,1
5394386,99.72564697265625,6.3234882105008605,286240,163853,6,6,3
5394387,99.73114013671874,6.3234882105008605,200821,157646,12,12,3
5394388,99.72564697265625,6.3180284386584455,137363,45680,13,13,9
5394389,99.73114013671876,6.3180284386584455,160461,44763,13,13,5
5394390,99.73663330078126,6.334407581176805,464662,102433,10,10,1
5394391,99.74212646484375,6.334407581176805,28595,5041,7,7,1
5394392,99.73663330078125,6.328947924689966,201998,78643,11,11,2
5394393,99.74212646484375,6.328947924689966,417239,123851,11,11,7
5394394,99.74761962890625,6.334407581176805,28531,27884,14,14,1
5394395,99.75311279296876,6.334407581176805,216676,119245,13,13,3
5394396,99.74761962890625,6.328947924689966,333150,112808,10,10,5
