SOVEREIGNT,avg_d_kbps,avg_u_kbps,avg_lat_ms
Tunisia,13952.08510638298,7605.914893617021,52.46808510638298
Turkey,45057.12815884477,14563.42057761733,27.501805054151625
Turkmenistan,32149.666666666668,8927.666666666666,147.0
Uganda,21851.894736842107,16193.368421052632,31.473684210526315
Ukraine,84836.02989536621,81469.10014947683,13.723467862481316
United Arab Emirates,248479.3119266055,137699.3119266055,9.825688073394495
United Kingdom,147637.70066173607,55932.16932658622,21.24367458154924
United Republic of Tanzania,13498.533333333333,11949.666666666666,26.933333333333334
United States of America,245991.35852305338,94118.88610420254,27.591543906638606
Uruguay,160062.5,41275.833333333336,28.916666666666668
Uzbekistan,63763.46428571428,68626.32857142857,17.15
Vanuatu,,,
Venezuela,54463.15625,49983.12053571428,43.276785714285715
Vietnam,111392.32848588537,97207.89392643285,7.984602224123182
Yemen,11969.525,4328.25,95.0
Zambia,54167.0,5767.642857142857,270.92857142857144
Zimbabwe,28307.95238095238,9513.761904761905,130.33333333333334
eSwatini,52658.0,29751.333333333332,35.0
